materia_id,materia_nombre,inscriptos,duracion_horas,dia,hora_inicio,salones,capacidad_total,estado
0,"ELECTRONICA FUNDAMENTAL",17,3.5,14,8.0,"116;727;301;310",118,OK
50,"DISEÑO LOGICO",17,4.0,21,8.0,"310;B01;116",245,OK
102,"GESTION DE MANTENIMIENTO",17,4.0,5,12.0,"727",20,OK
114,"INGENIERIA DE LAS REACCIONES QUIMICAS 1",17,4.0,2,11.0,"727",20,OK
260,"TRANSFERENCIA DE CALOR 1",17,4.0,2,15.0,"727",20,OK
42,"COSTOS",16,4.0,20,8.0,"310",16,OK
56,"ELECTROMAGNETISMO",16,4.0,1,12.0,"116;B12;502;725",187,OK
144,"INT. A LA MECANICA DE SUELOS",16,3.5,19,8.0,"310;727",36,OK
182,"MEDIDAS ELECTRICAS",16,4.0,1,12.0,"305",35,OK
234,"SISTEMAS Y CONTROL",16,4.0,11,8.0,"310",16,OK
60,"ELECTROTECNICA",15,3.0,3,12.0,"310",16,OK
94,"GEOLOGIA DE INGENIERIA",15,4.0,3,8.0,"310",16,OK
137,"INT. A LA INGENIERIA BIOQUIMICA",15,4.0,17,16.0,"310",16,OK
138,"INT. A LA INGENIERIA DE PROCESOS",15,4.0,10,8.0,"310",16,OK
178,"MECANICA APLICADA (ING.QUÍM)",15,3.0,22,8.0,"727",20,OK
233,"SISTEMAS OPERATIVOS",15,4.0,15,8.0,"310",16,OK
253,"TERMODINAMICA APL. A LA ING.DE PROCESOS",15,4.0,3,16.0,"116;B01;Piso",299,OK
62,"ELECTROTECNICA II",14,3.0,17,15.5,"116;703;C11",51,OK
139,"INT. A LA INGENIERIA DE SOFTWARE",14,3.0,11,12.0,"310",16,OK
279,"ESTRUCTURAS DE MADERA 1",14,3.5,24,16.5,"502;116;311",55,OK
39,"COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)",13,3.0,14,11.5,"310;116;722",32,OK
84,"FUNCIONES DE VARIABLE COMPLEJA",13,3.0,5,8.0,"310",16,OK
109,"HORMIGON ESTRUCTURAL 1",13,3.5,16,8.0,"310",16,OK
57,"ELECTRONICA AVANZADA 1",12,3.0,5,11.0,"310",16,OK
129,"INT. A LA CONSTRUCCION",12,4.0,18,16.0,"310",16,OK
152,"INT. A LOS MICROPROCESADORES",12,4.0,8,15.0,"310",16,OK
177,"MATERIALES Y ENSAYOS",12,4.0,9,8.0,"310;309",32,OK
210,"PROYECTO",12,3.0,1,16.0,"A22;502",144,OK
284,"TEORÍA Y ANÁLISIS DE ERRORES",12,4.0,1,16.0,"115;601;A12",219,OK
21,"BASES DE DATOS PARA INGENIERIA",11,3.0,3,18.0,"310",16,OK
26,"CAMINOS Y CALLES 1",11,4.0,7,8.0,"310",16,OK
34,"COMPORTAMIENTO MECANICO DE MATERIALES 1",11,3.0,3,15.0,"310",16,OK
85,"FUNDAMENTOS DE BASES DE DATOS",11,3.0,8,8.0,"310;A12;705;116",161,OK
124,"INSTRUMENTACION INDUSTRIAL",11,4.0,19,15.5,"310",16,OK
148,"INT. A LAS ECUACIONES DIFERENCIALES",11,3.0,22,8.0,"310",16,OK
143,"INT. A LA MECANICA DE LOS FLUIDOS",10,4.0,24,13.5,"722",10,OK
146,"INT. A LA OPTICA",10,3.5,23,12.0,"722;A11;705",55,OK
203,"PROCEDIMIENTOS CONST. OBRAS VIALES Y SUELO",10,1.5,14,18.5,"722;310",26,OK
219,"REFRIGERACION",10,4.0,2,12.0,"115;303;722;C21",151,OK
43,"COSTOS PARA INGENIERIA",9,4.0,9,8.0,"722",10,OK
98,"GESTION DE CALIDAD",9,4.0,21,8.0,"727;B21;B23",160,OK
110,"HORMIGON ESTRUCTURAL 2",9,2.0,25,12.0,"722",10,OK
122,"INSTALACIONES ELECTRICAS",9,4.0,24,8.0,"601;Hall;B11;501",272,OK
216,"REDES DE DATOS 1",9,2.0,11,8.0,"722",10,OK
59,"ELECTRONICA DE POTENCIA",8,4.0,25,8.0,"722",10,OK
96,"GEOMETRIA Y ALGEBRA LINEAL 1 INTERACTIVA",8,3.0,3,8.0,"722;116",16,OK
131,"INT. A LA ELECTROTECNIA",8,3.0,2,16.0,"116;B01;305",264,OK
169,"MATEMATICA 1",8,3.0,9,8.0,"727;725;B01;C11",288,OK
204,"PROCEDIMIENTOS CONST.PARA ESTRUCTURAS",8,2.0,21,12.0,"722",10,OK
225,"SEGURIDAD EN LA CONSTRUCCION",8,4.0,4,8.0,"116;B01",229,OK
227,"SEÑALES ALEATORIAS Y MODULACION",8,4.0,20,8.0,"722",10,OK
126,"INT. A LA CIENCIA DE LOS MATERIALES",7,1.5,18,8.0,"B23",101,OK
170,"MATEMATICA 2",7,3.0,1,12.0,"102;A11;C11;307",255,OK
213,"PUENTES",7,4.0,6,8.0,"116;705;C22",128,OK
68,"ELEMENTOS DE TOPOGRAFIA",6,4.0,1,16.0,"A11;705;Actos;116",179,OK
72,"ESTRUCTURAS DE ACERO",6,2.0,1,8.0,"B23",101,OK
88,"GENERADORES DE VAPOR",6,4.0,23,8.0,"727;722;116",36,OK
111,"HORMIGON ESTRUCTURAL 3",6,5.5,13,12.0,"116",6,OK
113,"INGENIERIA BIOQUIMICA",6,4.0,25,8.0,"116",6,OK
135,"INT. A LA FISICA MODERNA",6,4.0,2,12.0,"102;B11",75,OK
171,"MATEMATICA 3",6,3.0,1,12.0,"312;B22",126,OK
179,"MECANICA DE LOS FLUIDOS",6,4.0,7,8.0,"116",6,OK
195,"ORDENAMIENTO TERRITORIAL 1",6,4.0,19,15.5,"116",6,OK
18,"AVALUACIONES 3",5,4.0,18,12.0,"116;705;722",36,OK
36,"COMPORTAMIENTO MEC. DE MATERIALES",5,3.5,17,12.0,"116;B11;725",76,OK
75,"ESTRUCTURAS DE MADERA",5,4.0,14,8.0,"A11",25,OK
87,"FUND. DE LA PROD. DE CELULOSA Y PAPEL",5,3.0,19,8.0,"116",6,OK
91,"GEODESIA 3",5,4.0,1,8.0,"305;102;B11;727",130,OK
100,"GESTION DEL MANTENIMIENTO",5,4.0,21,16.0,"116",6,OK
103,"HIDRAULICA FLUVIAL Y MARITIMA",5,4.0,4,8.0,"310;502",36,OK
149,"INT. A LA TERMODINAMICA",5,3.0,12,8.0,"A12",119,OK
160,"MAMPOSTERIA ESTRUCTURAL",5,4.0,1,12.0,"C01;A12;C21",338,OK
164,"MAQUINAS PARA FLUIDOS",5,4.0,14,14.5,"116;722",16,OK
259,"TRANSFERENCIA DE CALOR",5,4.0,6,16.0,"116",6,OK
270,"TRANSPORTE URBANO",5,4.0,16,16.0,"116",6,OK
273,"VIBRACIONES Y ONDAS",5,4.0,7,12.0,"311;725",49,OK
13,"ASPECTOS BASICOS DE REDES DE COMPUT",4,3.0,25,8.0,"705;B01",243,OK
49,"DISEÑO HIDROLOGICO",4,4.0,10,8.0,"116;502;C11",51,OK
53,"ECONOMÍA (AREA)",4,4.0,7,8.0,"B11;Actos;A01;722",333,OK
55,"ELASTICIDAD",4,4.0,24,8.0,"705",20,OK
58,"ELECTRONICA AVANZADA 2",4,3.0,20,8.0,"A12",119,OK
70,"ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS",4,4.0,2,16.0,"115;102;310",81,OK
71,"ENSAYOS ELECTRICOS Y EQUIPOS DE MEDIA TENSION",4,4.0,15,8.0,"312;116;722",110,OK
101,"GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.",4,4.0,10,12.0,"116;309",22,OK
151,"INT. AL DERECHO",4,2.0,8,19.0,"116",6,OK
163,"MAQUINAS ELECTRICAS",4,2.5,1,13.0,"B01;727;309",259,OK
185,"METALURGIA FISICA",4,4.0,24,8.0,"722",10,OK
197,"PATOLOGIA DE LAS ESTRUCTURAS",4,2.0,15,12.0,"722",10,OK
199,"POTABILIZACION DE AGUAS",4,4.0,23,12.0,"116;725;310",42,OK
269,"TRANSPORTE POR CARRETERA",4,4.0,1,16.0,"501;C21",87,OK
274,"CALCULO Y AJUSTE DE LAS OBSERVACIONES",4,4.0,18,12.0,"310;725",36,OK
275,"GEODESIA GEOMETRICA",4,2.0,22,19.0,"116",6,OK
